year,section,type,title,date_chambre,date_senate,date_prom,date_moniteur
1905,Finance,Loi,Loi qui modifie l'article 40 de la loi du 17 Octobre 1881 sur la vente des timbres,1/9/1905,4/9/1905,14/09/1905,30/09/1905
1905,Finance,Loi,Loi qui ouvre le port de Môle St -Nicolas au commerce étranger,10/8/1905,16/08/1905,17/08/1905,4/10/1905
1906,Justice,Arrêté,Arrêté autorisant le Tribunal civil de Jacmel à connaitre des Affaires Commerciales et Maritimes de la Juridiction,,,,21/02/1906
1906,Justice,Loi,Loi modifiant l'art. 1er. de la loi sur l'Exercice du droit de grâce etc,20/07/1906,26/07/1906,27/07/1906,1/8/1906
1906,Justice,Loi,Loi modifiant l'article 926 du Côde de Procédure civile,20/07/1906,17/07/1906,27/07/1906,1/8/1906
1906,Justice,Loi,Loi qui laisse au tribunal civil des Gonaives la connaissance des affaires de la Marmelade et de Hinche dont il était saisi avant la loi du 31 Août 1906.,13/09/1906,16/09/1906,20/09/1906,27/10/1906
1906,Instruction Publique,Loi,Loi sur l'enseignement médical et sur l'exercice de la Médecine et de la Pharmacie,10/9/1906,16/09/1906,27/09/1906,10/10/1906
1906,Instruction Publique,Loi,Loi sur l'Enseignement de l'Ecole Nationale de droit modificative de celle du 27 juin 1889,5/9/1906,13/09/1906,8/11/1906,17/11/1906
1906,Relations Extérieures,Protocole,Protocole prolongeant j'usqu'au 30 Octobre 1906 la Convention commerciale frauco-haitienne,,,,4/4/1906
1906,Relations Extérieures,Arrêté,"Arrêté nommant M. Pauléus Sannon Secrétaire d'Etat au Département des Relations Extérieures et des cultes, et chargeant du Département de l'Instruction publique Mr. T. Laleau Secrétaire d'Etat de la justice.",,,,23/05/1906
1906,Relations Extérieures,Protocole,Protocole prolongeant jusqu'au 31 Janvier 1907 la Convention franco-haitienne du 31 Juillet 1906.,,,,10/10/1906
1906,Relations Extérieures,Décret du Corps Législatif sanctionnant la Convention conclue à Port-au-Prince entre le Gouvernement de S.M. Royaume Unie de la Grande Bretagne etc.,,,,,31/10/1906
1906,Relations Extérieures,Convention,Convention entre la Grande-Bretagne et Haiti sur la Nationalité,29/08/1906,6/8/1906,10/9/1906,31/10/1906
1906,Travaux publics,Convention,Convention passée entre le département et la Compagnie des chemins de fer P.C.S.,10/9/1906,15/09/1906,14/09/1906,29/09/1906
1906,Travaux publics,Loi,Loi sanctionnant le contrat pour l'exploitation d'une ligne de chemin de fer de Léogane aux Cayes,10/9/1906,15/09/1906,4/10/1906,3/11/1906
1906,Intérieur,Loi,Loi qui subdivise la cinquième section des Palmes de la commune de Saint-Louis du sud en deux sections,2/8/1906,2/8/1906,4/8/1906,8/8/1906
1906,Intérieur,Loi,Loi accordant une rante viagère à Mr. Louis Joseph Janvier,6/7/1906,10/7/1906,15/07/1906,29/08/1906
1906,Intérieur,Loi,Loi faisant relever du département du Nord des arrondissements du Hinche et de la Marmelade.,3/8/1906,31/08/1906,31/08/1906,8/9/1906
1906,Intérieur,Contrat,Contrat pour l'éclairage électrique des villes de Port-au-Prince et du Cap-Haitien,6/8/1906,31/08/1906,8/9/1906,19/08/1906
1906,Intérieur,Loi,"Loi modifiant l'article 9, premier paragraphe de la loi du 16 Septembre 1870 sur lagarde nationale.",29/08/1906,13/09/1906,13/09/1906,22/09/1906
